,PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
280,462,Core development workflow automation for CPython,Withdrawn,23-Jan-2014,14,3,3,6,0.10938140141609341,0.10938140141609341
325,507,Migrate CPython to Git and GitLab,Rejected,30-Sep-2015,14,3,3,6,0.10429774479003716,0.21367914620613057
16,101,Doing Python Releases 101,Active,22-Aug-2001,14,4,2,6,0.09969314094759467,0.3133722871537252
292,474,Creating forge.python.org,Withdrawn,19-Jul-2014,14,3,2,5,0.09850737635225783,0.41187966350598304
166,347,Migrating the Python CVS to Subversion,Final,14-Jul-2004,14,2,0,2,0.07673122547661976,0.48861088898260285
14,42,Feature Requests,Withdrawn,12-Sep-2000,14,1,0,1,0.0708987713896285,0.5595096603722314
17,102,Doing Python Micro Releases,Superseded,09-Jan-2002,14,1,1,2,0.0630555830343103,0.6225652434065416
577,761,Deprecating PGP signatures for CPython artifacts,Active,08-Oct-2024,14,1,0,1,0.0630555830343103,0.6856208264408519
299,481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn,29-Nov-2014,14,2,3,5,0.06099269111186916,0.7466135175527211
2,3,Guidelines for Handling Bug Reports,Withdrawn,25-Sep-2000,14,2,1,3,0.059074066748855514,0.8056875843015766
313,495,Local Time Disambiguation,Final,02-Aug-2015,14,1,1,2,0.038267815124528974,0.8439553994261055
330,512,Migrating from hg.python.org to GitHub,Final,17-Jan-2015,14,1,3,4,0.037966262804426394,0.8819216622305319
204,385,Migrating from Subversion to Mercurial,Final,25-May-2009,14,1,1,2,0.029476526582147722,0.9113981888126796
55,235,Import on Case-Insensitive Platforms,Final,21-Feb-2001,14,1,0,1,0.026546097068020635,0.9379442858807003
5,6,Bug Fix Releases,Superseded,15-Mar-2001,14,0,3,3,0.02068523803976647,0.9586295239204667
193,374,Choosing a distributed VCS for the Python project,Final,07-Nov-2008,14,0,2,2,0.02068523803976647,0.9793147619602333
318,500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected,08-Aug-2015,14,0,1,1,0.02068523803976647,0.9999999999999998
212,394,"The ""python"" Command on Unix-Like Systems",Active,02-Mar-2011,15,3,4,7,0.12551688967507152,0.12551688967507152
284,466,Network Security Enhancements for Python 2.7.x,Final,23-Mar-2014,15,4,0,4,0.11436805987883093,0.23988494955390244
215,397,Python launcher for Windows,Final,15-Mar-2011,15,4,1,5,0.10054121651651872,0.3404261660704212
189,370,Per user site-packages directory,Final,11-Jan-2008,15,2,0,2,0.09797901931052008,0.43840518538094125
222,404,Python 2.8 Un-release Schedule,Final,09-Nov-2011,15,2,0,2,0.08584256490640953,0.5242477502873508
192,373,Python 2.7 Release Schedule,Final,03-Nov-2008,15,2,2,4,0.07621417627574183,0.6004619265630926
223,405,Python Virtual Environments,Final,13-Jun-2011,15,3,1,4,0.07483897359188373,0.6753009001549763
361,543,A Unified TLS API for Python,Withdrawn,17-Oct-2016,15,2,0,2,0.06092255827685356,0.7362234584318299
294,476,Enabling certificate verification by default for stdlib http clients,Final,28-Aug-2014,15,1,1,2,0.038160439642972596,0.7743838980748025
304,486,Make the Python Launcher aware of virtual environments,Final,12-Feb-2015,15,1,2,3,0.03246990998450235,0.8068538080593048
332,514,Python registration in the Windows registry,Active,02-Feb-2016,15,1,1,2,0.03246990998450235,0.8393237180438072
257,439,Inclusion of implicit pip bootstrap in Python installation,Rejected,18-Mar-2013,15,0,3,3,0.02677938032603211,0.8661030983698393
311,493,HTTPS verification migration tools for Python 2.7,Final,10-May-2015,15,0,2,2,0.02677938032603211,0.8928824786958715
364,546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected,30-May-2017,15,0,2,2,0.02677938032603211,0.9196618590219036
564,748,A Unified TLS API for Python,Draft,27-Jun-2024,15,0,1,1,0.02677938032603211,0.9464412393479357
589,773,A Python Installation Manager for Windows,Accepted,21-Jan-2025,15,0,4,4,0.02677938032603211,0.9732206196739678
689,3146,Merging Unladen Swallow into CPython,Withdrawn,01-Jan-2010,15,0,1,1,0.02677938032603211,0.9999999999999999
121,302,New Import Hooks,Final,19-Dec-2002,16,11,3,14,0.2379016276633216,0.2379016276633216
157,338,Executing modules as scripts,Final,16-Oct-2004,16,3,3,6,0.1112366141088555,0.3491382417721771
185,366,Main module explicit relative imports,Final,01-May-2007,16,2,4,6,0.08713581958435225,0.43627406135652935
93,273,Import Modules from Zip Archives,Final,11-Oct-2001,16,1,1,2,0.08304390664329508,0.5193179679998244
